Mon Apr  5 19:13:09 2021    output.prof

         253110579 function calls (246500929 primitive calls) in 208.645 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   597360    0.757    0.000    3.052    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:597(_ensure_dtype_type)
   298694    0.322    0.000    2.819    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/construction.py:516(_try_cast)
   597360    0.674    0.000    2.776    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/blocks.py:207(array_values)
   597365    0.607    0.000    2.764    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:438(__exit__)
  1493411    1.411    0.000    2.747    0.000 {pandas._libs.lib.is_list_like}
   294220    0.776    0.000    2.725    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexes/numeric.py:105(_shallow_copy)
 16158834    2.651    0.000    2.651    0.000 {built-in method builtins.issubclass}
   597360    0.386    0.000    2.607    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:185(is_array_like)
  1063344    0.820    0.000    2.538    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/frame.py:584(shape)
   298693    1.495    0.000    2.466    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1179(maybe_castable)
   443359    1.137    0.000    2.412    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:202(shape)
  2090760    1.445    0.000    2.402    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:1569(dtype)
  1869580    1.000    0.000    2.331    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:322(is_hashable)
   298680    0.379    0.000    2.294    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:146(from_blocks)
  2389480    1.572    0.000    2.281    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/numerictypes.py:286(issubclass_)
  4765360    1.587    0.000    2.251    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexes/base.py:563(__len__)
   597361    1.159    0.000    2.149    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:5086(__finalize__)
   298536    2.126    0.000    2.126    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
   597360    1.258    0.000    2.102    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/arrays/numpy_.py:162(__init__)
  1194730    1.837    0.000    2.042    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:132(geterr)
  1518774    0.579    0.000    1.997    0.000 {built-in method builtins.hasattr}
   294221    0.552    0.000    1.949    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexes/base.py:494(_shallow_copy)
   298681    0.886    0.000    1.915    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:122(__init__)
   298713    0.324    0.000    1.787    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:492(is_interval_dtype)
    74902    0.266    0.000    1.771    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/frame.py:3174(_box_col_values)
   896053    0.446    0.000    1.646    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:47(isna)
   298680    1.646    0.000    1.646    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
  1269627    1.038    0.000    1.640    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/series.py:442(name)
   317111    0.277    0.000    1.625    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:456(is_period_dtype)
   742048    1.580    0.000    1.580    0.000 {built-in method numpy.empty}
   672266    1.489    0.000    1.489    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:195(__init__)
   298682    0.528    0.000    1.476    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/warnings.py:165(simplefilter)
    824/5    0.008    0.000    1.453    0.291 <frozen importlib._bootstrap>:986(_find_and_load)
    824/5    0.006    0.000    1.453    0.291 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    786/5    0.005    0.000    1.451    0.290 <frozen importlib._bootstrap>:650(_load_unlocked)
    635/4    0.003    0.000    1.450    0.362 <frozen importlib._bootstrap_external>:777(exec_module)
   298682    0.542    0.000    1.450    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:358(array_equivalent)
   1123/6    0.001    0.000    1.449    0.242 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   298708    0.538    0.000    1.419    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/dtypes.py:1113(is_dtype)
   970946    0.794    0.000    1.403    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/series.py:492(name)
   298713    0.303    0.000    1.398    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:530(is_categorical_dtype)
2175250/2174093    0.647    0.000    1.383    0.000 {built-in method builtins.hash}
  1493416    0.556    0.000    1.336    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/abc.py:96(__instancecheck__)
299668/299102    0.320    0.000    1.323    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
   317106    0.388    0.000    1.298    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/dtypes.py:901(is_dtype)
   298681    0.490    0.000    1.282    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/frame.py:440(__init__)
  1330077    0.413    0.000    1.275    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:204(<genexpr>)
   970945    1.272    0.000    1.272    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:5114(__getattr__)
   298684    0.880    0.000    1.252    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexes/base.py:459(_simple_new)
   970946    1.096    0.000    1.251    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/blocks.py:237(mgr_locs)
   298696    0.720    0.000    1.224    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:224(is_sparse)
   896053    0.672    0.000    1.200    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:130(_isna)
   597360    0.529    0.000    1.185    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:608(is_dtype_equal)
   298684    0.275    0.000    1.151    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/construction.py:575(is_empty_data)
   477/45    0.002    0.000    1.143    0.025 {built-in method builtins.__import__}
  1196347    1.106    0.000    1.106    0.000 {method 'format' of 'str' objects}
   597361    0.335    0.000    1.074    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:948(_consolidate_inplace)
   298680    0.346    0.000    1.042    0.000 <__array_function__ internals>:2(min_scalar_type)
  1801296    0.787    0.000    1.022    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1565(_get_dtype)
   298689    0.151    0.000    0.994    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_asarray.py:86(asanyarray)
   298680    0.315    0.000    0.967    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/computation/expressions.py:192(_bool_arith_check)
   298680    0.140    0.000    0.955    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/series.py:595(__len__)
   221446    0.954    0.000    0.954    0.000 {built-in method _operator.eq}
  1194731    0.947    0.000    0.947    0.000 {built-in method numpy.seterrobj}
   298692    0.299    0.000    0.922    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexes/base.py:5648(maybe_extract_name)
   298686    0.413    0.000    0.909    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/warnings.py:181(_add_filter)
   298680    0.342    0.000    0.899    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/ops/__init__.py:88(get_op_result_name)
   597361    0.604    0.000    0.803    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:377(_get_axis)
  1493416    0.780    0.000    0.780    0.000 {built-in method _abc._abc_instancecheck}
   298681    0.392    0.000    0.739    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:128(<listcomp>)
   597361    0.313    0.000    0.739    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:647(is_consolidated)
   298680    0.542    0.000    0.735    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:1664(__hash__)
   298682    0.663    0.000    0.731    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/warnings.py:458(__enter__)
   294084    0.419    0.000    0.730    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:3573(_set_is_copy)
        1    0.000    0.000    0.713    0.713 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/scipy/stats/__init__.py:1(<module>)
   373584    0.588    0.000    0.707    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:1499(__init__)
   887122    0.527    0.000    0.703    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexes/base.py:516(is_)
303304/303291    0.630    0.000    0.698    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.693    0.693 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/scipy/stats/stats.py:19(<module>)
  2832798    0.686    0.000    0.686    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/blocks.py:315(dtype)
        1    0.000    0.000    0.685    0.685 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/__init__.py:3(<module>)
  2693251    0.672    0.000    0.672    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:1542(_block)
   298680    0.367    0.000    0.668    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/arrays/numpy_.py:414(to_numpy)
   298680    0.243    0.000    0.660    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/arrays/numpy_.py:210(__array__)
      467    0.008    0.000    0.656    0.001 DTL.py:74(num_class)
   298680    0.249    0.000    0.655    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:296(__len__)
   298680    0.286    0.000    0.653    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/computation/expressions.py:183(_has_bool_dtype)
  1222359    0.391    0.000    0.622    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:180(<lambda>)
   298680    0.613    0.000    0.613    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
  2389462    0.603    0.000    0.603    0.000 {built-in method numpy.geterrobj}
   298680    0.154    0.000    0.593    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/ops/dispatch.py:11(should_extension_dispatch)
   301243    0.528    0.000    0.577    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexes/base.py:4030(__contains__)
   298680    0.566    0.000    0.566    0.000 {method 'take' of 'numpy.ndarray' objects}
